ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,12:25:56,4672.25,-6.75,2019,0,5,0,0,-66.2,f,426,0,168.75,299
@NQ#_ZIG,12/8/2015,12:30:56,4683,10.75,2036,0,5,0,0,74.6,a,829,0,159.26,300
@NQ#_ZIG,12/8/2015,12:31:56,4678.75,-4.25,762,0,2,0,0,-74.4,1,762,0,39.53,60
@NQ#_ZIG,12/8/2015,12:43:56,4686.75,8,3573,0,3,0,0,77.4,2,1657,0,188.24,720
@NQ#_ZIG,12/8/2015,12:44:56,4681.25,-5.5,473,0,2,0,0,-77.8,3,473,0,68.75,60
@NQ#_ZIG,12/8/2015,12:49:57,4685.75,4.5,978,0,1,0,0,82.5,a,978,0,81.82,301
@NQ#_ZIG,12/8/2015,12:50:57,4680,-5.75,227,0,1,0,0,-84.1,b,227,0,127.78,60
@NQ#_ZIG,12/8/2015,13:04:57,4694,14,3637,0,11,0,0,65,a,0,0,243.48,840
@NQ#_ZIG,12/8/2015,13:04:58,4688,-6,0,0,2,0,0,-78.8,1,0,0,42.86,1
@NQ#_ZIG,12/8/2015,13:10:56,4701,13,3849,0,6,0,0,74.7,2,0,0,216.67,358
@NQ#_ZIG,12/8/2015,13:10:58,4695.25,-5.75,0,0,3,0,0,-72.8,3,0,0,44.23,2
@NQ#_ZIG,12/8/2015,13:20:57,4702.75,7.5,7751,0,5,0,0,68.4,4,334,0,130.43,599
@NQ#_ZIG,12/8/2015,13:30:56,4692,-10.75,3753,0,5,0,0,-74.6,1,1641,0,143.33,599
@NQ#_ZIG,12/8/2015,13:34:56,4696,4,1217,0,2,0,0,73.5,a,792,0,37.21,240
@NQ#_ZIG,12/8/2015,13:36:56,4689.75,-6.25,876,0,2,0,0,-79.2,b,414,0,156.25,120
@NQ#_ZIG,12/8/2015,13:41:56,4695.25,5.5,1193,0,2,0,0,77.8,c,458,0,88,300
@NQ#_ZIG,12/8/2015,13:44:56,4690,-5.25,781,0,2,0,0,-77.2,1,781,0,95.45,180
@NQ#_ZIG,12/8/2015,13:47:57,4700.25,10.25,898,0,5,0,0,73.8,2,0,0,195.24,181
@NQ#_ZIG,12/8/2015,13:48:56,4696.25,-4,619,0,1,0,0,-81.6,3,619,0,39.02,59
@NQ#_ZIG,12/8/2015,13:49:56,4700.25,4,394,0,1,0,0,81.6,a,394,0,100,60
@NQ#_ZIG,12/8/2015,13:53:56,4695.5,-4.75,1361,0,1,0,0,-82.9,b,1361,0,118.75,240
